"","interception","SR1","SR2","SR4","SR5","INF","WT","RT","r2"
"84",3.22677163025473,-2.43784226215564,-0.171833134062218,-2.90028821086941,-0.646262481570202,-4.28123024679909,1.02271609070471,-3.4597232714918,0.964667299889416
"85",3.01816606689397,-2.43572192278347,-0.172779692574036,-3.27474559825438,-0.632216399394094,-4.10437820295688,1.03572976150235,-3.98097786692127,0.967369491296867
"86",2.43348466837241,-2.44291416452542,-0.174307573422027,-3.58467461949079,-0.631222894425508,-3.99397464514371,1.03330111434381,-4.51553057136892,0.969594591962653
"87",3.04221095254779,-2.45728777881458,-0.17624125798717,-3.73894429780757,-0.640018938256088,-3.90625167982944,1.01315321840763,-5.02928517987497,0.970478056853269
"88",1.78693625142838,-2.47703196363205,-0.179265114475751,-3.68194328068632,-0.651451754022711,-3.83939771887119,0.970752501680333,-5.4903084050888,0.969492709002897
"89",1.88724022581109,-2.47856489095531,-0.182246795774846,-3.46084908313037,-0.643731802173104,-3.74486025386421,0.921591163589612,-5.81219769095385,0.966450882920899
"90",1.50753215014505,-2.44126470985828,-0.185799971492292,-3.01715776211411,-0.593437181938943,-3.67416438445455,0.861631624820317,-5.99868230873487,0.960024858621705
"91",1.1231781791228,-2.42138407716109,-0.188030771709916,-2.82136978978569,-0.564311722816944,-3.57371078216937,0.794229715093059,-6.06315779329322,0.956129406707796
"92",1.52415380440691,-2.38464414392305,-0.18903516335559,-2.626078760336,-0.523430082679254,-3.47645837035712,0.72017725052907,-6.0657185089752,0.952027827590443
"93",2.41443058395429,-2.36066815532162,-0.189350188709598,-2.49475769294865,-0.495023525884981,-3.42306141286862,0.646078698009431,-6.02730454702152,0.9490712664959
"94",2.87774736833898,-2.34478850755456,-0.189113733009685,-2.41058001571691,-0.478311505469228,-3.41261385412452,0.577036065316051,-5.96091069296152,0.947398134174864
"95",3.65910007025772,-2.32864250679462,-0.188595854913692,-2.34698415602237,-0.464770720146248,-3.41443948220084,0.514901529323541,-5.85220037693911,0.946264369101309
"96",4.14547728878473,-2.31087616896459,-0.18775646901198,-2.29415073666919,-0.452497208386519,-3.43184224628355,0.462309276707971,-5.70818677215596,0.945452061811614
"97",4.83064716809061,-2.29258178679351,-0.186800080016267,-2.2483557537478,-0.44102310733751,-3.45499598173253,0.418825494381025,-5.54482580013944,0.94478725836751
"98",5.30986178025468,-2.27254536276338,-0.185736544854482,-2.20795576784134,-0.429940616636345,-3.4896736342533,0.376873185572372,-5.37661922185172,0.944273480251774
"99",5.79458314891087,-2.25141051549503,-0.184411437369946,-2.1729138672282,-0.419601922688454,-3.52754846754536,0.330428961969087,-5.21399633300367,0.943907039919122
"100",6.6858512346338,-2.2336913867847,-0.182961928239455,-2.14284202403813,-0.410955321727297,-3.58064902902453,0.283674514859708,-5.06233324653949,0.943790711390682
"101",8.28726265820223,-2.22686119168075,-0.181854010287708,-2.12401815784342,-0.406875938864325,-3.67828752980011,0.240960039829617,-4.92962782455445,0.94418810212508
"102",8.97844268251565,-2.27535353367342,-0.182073542565637,-2.1603883658322,-0.452451656325037,-3.81113748654056,0.208925825013039,-4.81428119961285,0.946481613997592
"103",9.11090722575043,-2.50399098479615,-0.182311931944274,-2.26555625391602,-0.679759927416972,-3.90494969615393,0.196568647856469,-4.67652232448588,0.952832660255941
"104",7.76143311291146,-2.65671882361984,-0.181576672972001,-2.40927022749689,-0.819880619590238,-3.89734258879789,0.186503430333638,-4.56482895349931,0.957360179035738
"105",5.43052209224457,-2.63632584196293,-0.181167271709974,-2.5587304838909,-0.786300435922577,-3.78509114136606,0.174900988998072,-4.50755329639715,0.958487931958878
"106",4.25095035618919,-2.581299301826,-0.181108522493307,-2.65529806831537,-0.718048649312348,-3.60412406471634,0.166573962291765,-4.57434934777242,0.958074934984012
"107",2.08067245227435,-2.57133663598659,-0.181848739804751,-2.78005012597779,-0.693144408837705,-3.42746254041865,0.150932611116345,-4.83233129076113,0.958507831569649
"108",1.5989903058767,-2.56834952971666,-0.182432909171648,-3.05254458550438,-0.677194679742825,-3.25512131746656,0.12678973489306,-5.2553421137466,0.960865588597766
"109",1.35320793101082,-2.5671765609884,-0.183286373723535,-3.42422599242447,-0.665529394130564,-3.14702563573489,0.0947902493642483,-5.76584383279281,0.964477998449987
"110",1.47263758126418,-2.57682399182757,-0.184737531626554,-3.74769392906568,-0.665863474297033,-3.07051142480973,0.0538054466466074,-6.27652789871969,0.967334380598823
"111",0.909707125653882,-2.59296150450546,-0.186917155621731,-3.92606296988756,-0.67291674171262,-2.99966506217644,-0.0026837604059328,-6.69985736207302,0.968584407766376
"112",1.9160058262308,-2.60404257623146,-0.189817091873678,-3.85611850724924,-0.674159987730311,-2.93524127995032,-0.0702721930430386,-7.01462103675083,0.96722840086274
"113",3.1480486907661,-2.58383145161603,-0.193416894519166,-3.36546386464304,-0.641992377211428,-2.92417236628927,-0.15428342135522,-7.21218851252236,0.960835536733379
"114",2.14856100988768,-2.58591928575726,-0.195529245527617,-3.25460217357641,-0.637062665682925,-2.90138404858275,-0.238969727169637,-7.27947241601587,0.958774887821108
"115",2.54350099532994,-2.56131876679422,-0.196979552288692,-3.08740171568345,-0.607693904041744,-2.83299887706328,-0.322590986837004,-7.30521590396578,0.95559876509032
"116",3.3222779416978,-2.51744290363122,-0.198270930733635,-2.82001118867524,-0.556550995517559,-2.79666753800803,-0.408172090808443,-7.28868722345748,0.950313195804125
"117",3.43962933344157,-2.48642669835148,-0.198427433202052,-2.6532465071308,-0.522891706942805,-2.77927542270225,-0.482937450373782,-7.21617958874905,0.946845725082442
"118",4.46396517417566,-2.46577679408436,-0.198069873210247,-2.55309766950302,-0.503472036154278,-2.77279690422853,-0.549395894409286,-7.12264434501875,0.944824284177904
"119",5.60429283363571,-2.44419075892228,-0.197244919947212,-2.48047505946198,-0.487935087291029,-2.81319303126542,-0.607331128278208,-6.97022837978731,0.94353289947335
"120",6.15146377797158,-2.42038286078204,-0.196171758826967,-2.42552391025539,-0.473899626466331,-2.88296143055861,-0.66686202399849,-6.77700985288758,0.942686914938619
"121",7.89990018497063,-2.39855798980916,-0.194803709399516,-2.38338195561023,-0.461891970938372,-2.97101971799311,-0.732632025270971,-6.56706035151518,0.942234153959434
